date,beer
01/01/1992,1509.0
04/01/1992,1675.0
05/01/1992,1822.0
08/01/1992,1862.0
09/01/1992,1770.0
12/01/1992,2511.0
01/01/1993,1614.0
04/01/1993,1713.0
05/01/1993,1796.0
08/01/1993,1777.0
09/01/1993,1707.0
12/01/1993,2443.0
01/01/1994,1548.0
04/01/1994,1757.0
05/01/1994,1830.0
08/01/1994,1858.0
09/01/1994,1823.0
12/01/1994,2577.0
01/01/1995,1555.0
04/01/1995,1699.0
05/01/1995,1807.0
08/01/1995,1861.0
09/01/1995,1845.0
12/01/1995,2598.0
01/01/1996,1679.0
04/01/1996,1798.0
05/01/1996,1957.0
08/01/1996,2062.0
09/01/1996,1781.0
12/01/1996,2547.0
01/01/1997,1706.0
04/01/1997,1817.0
05/01/1997,2060.0
08/01/1997,2079.0
09/01/1997,1892.0
12/01/1997,2821.0
01/01/1998,1846.0
04/01/1998,1963.0
05/01/1998,2140.0
08/01/1998,2118.0
09/01/1998,2031.0
12/01/1998,3037.0
01/01/1999,1866.0
04/01/1999,2099.0
05/01/1999,2210.0
08/01/1999,2140.0
09/01/1999,2126.0
12/01/1999,3265.0
01/01/2000,1920.0
04/01/2000,2132.0
05/01/2000,2357.0
08/01/2000,2422.0
09/01/2000,2358.0
12/01/2000,3375.0
01/01/2001,2109.0
04/01/2001,2231.0
05/01/2001,2470.0
08/01/2001,2518.0
09/01/2001,2316.0
12/01/2001,3542.0
01/01/2002,2114.0
04/01/2002,2300.0
05/01/2002,2569.0
08/01/2002,2595.0
09/01/2002,2297.0
12/01/2002,3488.0
01/01/2003,2121.0
04/01/2003,2333.0
05/01/2003,2576.0
08/01/2003,2660.0
09/01/2003,2461.0
12/01/2003,3654.0
01/01/2004,2293.0
04/01/2004,2553.0
05/01/2004,2685.0
08/01/2004,2622.0
09/01/2004,2618.0
12/01/2004,3801.0
01/01/2005,2219.0
04/01/2005,2640.0
05/01/2005,2709.0
08/01/2005,2791.0
09/01/2005,2784.0
12/01/2005,4137.0
01/01/2006,2424.0
04/01/2006,2791.0
05/01/2006,3017.0
08/01/2006,3024.0
09/01/2006,2997.0
12/01/2006,4269.0
01/01/2007,2569.0
04/01/2007,2867.0
05/01/2007,3262.0
08/01/2007,3292.0
09/01/2007,3057.0
12/01/2007,4403.0
01/01/2008,2675.0
04/01/2008,2997.0
05/01/2008,3420.0
08/01/2008,3472.0
09/01/2008,3151.0
12/01/2008,4461.0
01/01/2009,2913.0
04/01/2009,3130.0
05/01/2009,3467.0
08/01/2009,3399.0
09/01/2009,3263.0
12/01/2009,4625.0
01/01/2010,2878.0
04/01/2010,3310.0
05/01/2010,3467.0
08/01/2010,3454.0
09/01/2010,3365.0
12/01/2010,4681.0
01/01/2011,2888.0
04/01/2011,3363.0
05/01/2011,3471.0
08/01/2011,3576.0
09/01/2011,3517.0
12/01/2011,4892.0
01/01/2012,2995.0
04/01/2012,3409.0
05/01/2012,3786.0
08/01/2012,3752.0
09/01/2012,3503.0
12/01/2012,5124.0
01/01/2013,3155.0
04/01/2013,3488.0
05/01/2013,3947.0
08/01/2013,4100.0
09/01/2013,3631.0
12/01/2013,5215.0
01/01/2014,3381.0
04/01/2014,3702.0
05/01/2014,4165.0
08/01/2014,4219.0
09/01/2014,3814.0
12/01/2014,5572.0
01/01/2015,3572.0
04/01/2015,3867.0
05/01/2015,4335.0
08/01/2015,4260.0
09/01/2015,4073.0
12/01/2015,5816.0
01/01/2016,3610.0
04/01/2016,4114.0
05/01/2016,4403.0
08/01/2016,4480.0
09/01/2016,4434.0
12/01/2016,6054.0
01/01/2017,3728.0
04/01/2017,4251.0
05/01/2017,4647.0
08/01/2017,4647.0
09/01/2017,4538.0
12/01/2017,6241.0
01/01/2018,3965.0
04/01/2018,4317.0
05/01/2018,4897.0
08/01/2018,4898.0
09/01/2018,4598.0
12/01/2018,6370.0
