Period,Revenue
01.01.2015,16010072.1195
01.02.2015,15807587.449808
01.03.2015,22047146.023644
01.04.2015,18814583.29428
01.05.2015,14021479.611678
01.06.2015,16783928.522112
01.07.2015,19161892.194872
01.08.2015,15204984.296742
01.09.2015,20603939.9751
01.10.2015,20992874.780136
01.11.2015,14993369.65763
01.12.2015,27791807.639848
01.01.2016,28601586.496
01.02.2016,22367074.065584
01.03.2016,29738608.568
01.04.2016,28351007.9388
01.05.2016,15264603.734865
01.06.2016,24385658.077056
01.07.2016,29486517.069955
01.08.2016,15270117.2565
01.09.2016,36141027.562
01.10.2016,27915143.655
01.11.2016,21272049.3454
01.12.2016,42014159.88396
01.01.2017,36007380.67
01.02.2017,30396775.3784
01.03.2017,47678130.72603
01.04.2017,27013964.728324
01.05.2017,24948844.698
01.06.2017,31101345.543
01.07.2017,33848822.228544
01.08.2017,16454666.958
01.09.2017,31650092.652
01.10.2017,31572205.6224
01.11.2017,22446371.0268
01.12.2017,44966125.7696
01.01.2018,44067520.858
01.02.2018,36020287.1553
01.03.2018,46995990.4125
01.04.2018,35536487.6848
01.05.2018,29699599.176
01.06.2018,33261065.3886
01.07.2018,35826534.9072
01.08.2018,23268655.2112
01.09.2018,35423489.85
01.10.2018,39831565.6974
01.11.2018,32999145.2096
01.12.2018,47221828.2018
01.01.2019,36459960.091485
01.02.2019,36546498.663015
01.03.2019,54198706.7196
01.04.2019,32743989.6056
01.05.2019,32531657.5397
01.06.2019,47709701.6346
01.07.2019,45992141.57398
01.08.2019,36933665.022
01.09.2019,48526260.1344
01.10.2019,44160416.1824
01.11.2019,36374956.4944
01.12.2019,58756473.6608
01.01.2020,56288300.87
01.02.2020,40225243.264
01.03.2020,50022165.2325
01.04.2020,52320692.9428
01.05.2020,nan
01.06.2020,nan
01.07.2020,nan
01.08.2020,nan
01.09.2020,nan
01.10.2020,nan
01.11.2020,nan
01.12.2020,nan
01.01.2021,nan
01.02.2021,nan
01.03.2021,nan
01.04.2021,nan
01.05.2021,nan
01.06.2021,nan
01.07.2021,nan
01.08.2021,nan
01.09.2021,nan
01.10.2021,nan
01.11.2021,nan
01.12.2021,nan
01.01.2022,nan
01.02.2022,nan
01.03.2022,nan
01.04.2022,nan
01.05.2022,nan
01.06.2022,nan
01.07.2022,nan
01.08.2022,nan
01.09.2022,nan
01.10.2022,nan
01.11.2022,nan
01.12.2022,nan
